"","Plot.ID","Year","DOY","HoyeTaxon","CatchID","Plot_A","Plot_B","Plot_C","Plot_D","Plot_E","Plot_F","Plot_G","Plot_H","Days.A","Days.B","Days.C","Days.D","Days.E","Days.F","Days.G","Days.H","UnitID","TrapDays","TotalCatch1","CatchPerTrapDay","plot_id"
"1","Art1","1996","155","Bombus","Art1_1996_155_Bombus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"2","Art1","1996","155","Chironomidae","Art1_1996_155_Chironomidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"3","Art1","1996","155","Coccoidea","Art1_1996_155_Coccoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"4","Art1","1996","155","Collembola","Art1_1996_155_Collembola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"5","Art1","1996","155","Culicidae","Art1_1996_155_Culicidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"6","Art1","1996","155","Ichneumonidae","Art1_1996_155_Ichneumonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"7","Art1","1996","155","Linyphiidae","Art1_1996_155_Linyphiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"8","Art1","1996","155","Muscidae","Art1_1996_155_Muscidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"9","Art1","1996","155","Nymphalidae","Art1_1996_155_Nymphalidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"10","Art1","1996","155","Sciaridae","Art1_1996_155_Sciaridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Art1_1996_155",0,0,0,1
"11","Art1","1996","162","Bombus","Art1_1996_162_Bombus",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"12","Art1","1996","162","Chironomidae","Art1_1996_162_Chironomidae",19,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,19,0.678571428571429,1
"13","Art1","1996","162","Coccoidea","Art1_1996_162_Coccoidea",13,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,13,0.464285714285714,1
"14","Art1","1996","162","Collembola","Art1_1996_162_Collembola",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"15","Art1","1996","162","Culicidae","Art1_1996_162_Culicidae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"16","Art1","1996","162","Ichneumonidae","Art1_1996_162_Ichneumonidae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"17","Art1","1996","162","Linyphiidae","Art1_1996_162_Linyphiidae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"18","Art1","1996","162","Muscidae","Art1_1996_162_Muscidae",4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,4,0.142857142857143,1
"19","Art1","1996","162","Nymphalidae","Art1_1996_162_Nymphalidae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"20","Art1","1996","162","Sciaridae","Art1_1996_162_Sciaridae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_162",28,0,0,1
"21","Art1","1996","169","Bombus","Art1_1996_169_Bombus",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_169",28,0,0,1
"22","Art1","1996","169","Chironomidae","Art1_1996_169_Chironomidae",61,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_169",28,61,2.17857142857143,1
"23","Art1","1996","169","Coccoidea","Art1_1996_169_Coccoidea",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_169",28,0,0,1
"24","Art1","1996","169","Collembola","Art1_1996_169_Collembola",2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_169",28,2,0.0714285714285714,1
"25","Art1","1996","169","Culicidae","Art1_1996_169_Culicidae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_169",28,0,0,1
"26","Art1","1996","169","Ichneumonidae","Art1_1996_169_Ichneumonidae",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,"Art1_1996_169",28,0,0,1
