"","Plot.ID","Year","DOY","HoyeTaxon","TrapDays","TotalCatch1","CatchPerTrapDay","plot_id","yearc","DOYs","DOYsqs"
"1","Art2",1996,155,"Chironomidae",0.001,0,0,1,1,-1.66211021080785,2.76261035287173
"2","Art2",1996,155,"Collembola",0.001,0,0,1,1,-1.66211021080785,2.76261035287173
"3","Art2",1996,155,"Ichneumonidae",0.001,0,0,1,1,-1.66211021080785,2.76261035287173
"4","Art2",1996,155,"Linyphiidae",0.001,0,0,1,1,-1.66211021080785,2.76261035287173
"5","Art2",1996,155,"Muscidae",0.001,0,0,1,1,-1.66211021080785,2.76261035287173
"6","Art2",1996,155,"Sciaridae",0.001,0,0,1,1,-1.66211021080785,2.76261035287173
"7","Art2",1996,162,"Chironomidae",25,3,0.12,1,1,-1.39248590774143,1.93901700325848
"8","Art2",1996,162,"Collembola",25,2,0.08,1,1,-1.39248590774143,1.93901700325848
"9","Art2",1996,162,"Ichneumonidae",25,0,0,1,1,-1.39248590774143,1.93901700325848
"10","Art2",1996,162,"Linyphiidae",25,34,1.36,1,1,-1.39248590774143,1.93901700325848
"11","Art2",1996,162,"Muscidae",25,52,2.08,1,1,-1.39248590774143,1.93901700325848
"12","Art2",1996,162,"Sciaridae",25,0,0,1,1,-1.39248590774143,1.93901700325848
"13","Art2",1996,169,"Chironomidae",28,6,0.214285714285714,1,1,-1.12286160467501,1.26081818325333
"14","Art2",1996,169,"Collembola",28,200,7.14285714285714,1,1,-1.12286160467501,1.26081818325333
"15","Art2",1996,169,"Ichneumonidae",28,0,0,1,1,-1.12286160467501,1.26081818325333
"16","Art2",1996,169,"Linyphiidae",28,59,2.10714285714286,1,1,-1.12286160467501,1.26081818325333
"17","Art2",1996,169,"Muscidae",28,95,3.39285714285714,1,1,-1.12286160467501,1.26081818325333
"18","Art2",1996,169,"Sciaridae",28,2,0.0714285714285714,1,1,-1.12286160467501,1.26081818325333
"19","Art2",1996,176,"Chironomidae",28,118,4.21428571428571,1,1,-0.853237301608585,0.728013892856299
"20","Art2",1996,176,"Collembola",28,80,2.85714285714286,1,1,-0.853237301608585,0.728013892856299
"21","Art2",1996,176,"Ichneumonidae",28,1,0.0357142857142857,1,1,-0.853237301608585,0.728013892856299
"22","Art2",1996,176,"Linyphiidae",28,62,2.21428571428571,1,1,-0.853237301608585,0.728013892856299
"23","Art2",1996,176,"Muscidae",28,132,4.71428571428571,1,1,-0.853237301608585,0.728013892856299
"24","Art2",1996,176,"Sciaridae",28,0,0,1,1,-0.853237301608585,0.728013892856299
"25","Art2",1996,183,"Chironomidae",28,92,3.28571428571429,1,1,-0.583612998542162,0.340604132067373
"26","Art2",1996,183,"Collembola",28,27,0.964285714285714,1,1,-0.583612998542162,0.340604132067373
"27","Art2",1996,183,"Ichneumonidae",28,6,0.214285714285714,1,1,-0.583612998542162,0.340604132067373
"28","Art2",1996,183,"Linyphiidae",28,61,2.17857142857143,1,1,-0.583612998542162,0.340604132067373
"29","Art2",1996,183,"Muscidae",28,408,14.5714285714286,1,1,-0.583612998542162,0.340604132067373
"30","Art2",1996,183,"Sciaridae",28,31,1.10714285714286,1,1,-0.583612998542162,0.340604132067373
"31","Art2",1996,190,"Chironomidae",28,255,9.10714285714286,1,1,-0.313988695475739,0.0985889008865561
"32","Art2",1996,190,"Collembola",28,13,0.464285714285714,1,1,-0.313988695475739,0.0985889008865561
"33","Art2",1996,190,"Ichneumonidae",28,28,1,1,1,-0.313988695475739,0.0985889008865561
"34","Art2",1996,190,"Linyphiidae",28,50,1.78571428571429,1,1,-0.313988695475739,0.0985889008865561
"35","Art2",1996,190,"Muscidae",28,607,21.6785714285714,1,1,-0.313988695475739,0.0985889008865561
"36","Art2",1996,190,"Sciaridae",28,30,1.07142857142857,1,1,-0.313988695475739,0.0985889008865561
"37","Art2",1996,197,"Chironomidae",28,110,3.92857142857143,1,1,-0.0443643924093157,0.00196819931384775
"38","Art2",1996,197,"Collembola",28,0,0,1,1,-0.0443643924093157,0.00196819931384775
"39","Art2",1996,197,"Ichneumonidae",28,14,0.5,1,1,-0.0443643924093157,0.00196819931384775
"40","Art2",1996,197,"Linyphiidae",28,12,0.428571428571429,1,1,-0.0443643924093157,0.00196819931384775
"41","Art2",1996,197,"Muscidae",28,318,11.3571428571429,1,1,-0.0443643924093157,0.00196819931384775
"42","Art2",1996,197,"Sciaridae",28,15,0.535714285714286,1,1,-0.0443643924093157,0.00196819931384775
"43","Art2",1996,204,"Chironomidae",28,139,4.96428571428571,1,1,0.225259910657107,0.050742027349248
"44","Art2",1996,204,"Collembola",28,70,2.5,1,1,0.225259910657107,0.050742027349248
"45","Art2",1996,204,"Ichneumonidae",28,14,0.5,1,1,0.225259910657107,0.050742027349248
"46","Art2",1996,204,"Linyphiidae",28,45,1.60714285714286,1,1,0.225259910657107,0.050742027349248
"47","Art2",1996,204,"Muscidae",28,117,4.17857142857143,1,1,0.225259910657107,0.050742027349248
"48","Art2",1996,204,"Sciaridae",28,42,1.5,1,1,0.225259910657107,0.050742027349248
"49","Art2",1996,211,"Chironomidae",28,21,0.75,1,1,0.49488421372353,0.244910384992757
"50","Art2",1996,211,"Collembola",28,35,1.25,1,1,0.49488421372353,0.244910384992757
